startTime :2015-01-09 20:30:45 || endTime :2015-01-09 21:30:45 || tweets/hour :1 || average # followers :3317
startTime :2015-01-09 21:30:45 || endTime :2015-01-09 22:30:45 || tweets/hour :0 || average # followers :0
startTime :2015-01-09 22:30:45 || endTime :2015-01-09 23:30:45 || tweets/hour :0 || average # followers :0
startTime :2015-01-09 23:30:45 || endTime :2015-01-10 00:30:45 || tweets/hour :0 || average # followers :0
startTime :2015-01-10 00:30:45 || endTime :2015-01-10 01:30:45 || tweets/hour :0 || average # followers :0
startTime :2015-01-10 01:30:45 || endTime :2015-01-10 02:30:45 || tweets/hour :0 || average # followers :0
startTime :2015-01-10 02:30:45 || endTime :2015-01-10 03:30:45 || tweets/hour :0 || average # followers :0
startTime :2015-01-10 03:30:45 || endTime :2015-01-10 04:30:45 || tweets/hour :0 || average # followers :0
startTime :2015-01-10 04:30:45 || endTime :2015-01-10 05:30:45 || tweets/hour :0 || average # followers :0
startTime :2015-01-10 05:30:45 || endTime :2015-01-10 06:30:45 || tweets/hour :0 || average # followers :0
startTime :2015-01-10 06:30:45 || endTime :2015-01-10 07:30:45 || tweets/hour :0 || average # followers :0
startTime :2015-01-10 07:30:45 || endTime :2015-01-10 08:30:45 || tweets/hour :0 || average # followers :0
startTime :2015-01-10 08:30:45 || endTime :2015-01-10 09:30:45 || tweets/hour :0 || average # followers :0
startTime :2015-01-10 09:30:45 || endTime :2015-01-10 10:30:45 || tweets/hour :0 || average # followers :0
startTime :2015-01-10 10:30:45 || endTime :2015-01-10 11:30:45 || tweets/hour :0 || average # followers :0
startTime :2015-01-10 11:30:45 || endTime :2015-01-10 12:30:45 || tweets/hour :0 || average # followers :0
startTime :2015-01-10 12:30:45 || endTime :2015-01-10 13:30:45 || tweets/hour :0 || average # followers :0
startTime :2015-01-10 13:30:45 || endTime :2015-01-10 14:30:45 || tweets/hour :0 || average # followers :0
