startTime :2014-12-28 22:21:19 || endTime :2014-12-28 23:21:19 || tweets/hour :1 || average # followers :5346
startTime :2014-12-28 23:21:19 || endTime :2014-12-29 00:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 00:21:19 || endTime :2014-12-29 01:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 01:21:19 || endTime :2014-12-29 02:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 02:21:19 || endTime :2014-12-29 03:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 03:21:19 || endTime :2014-12-29 04:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 04:21:19 || endTime :2014-12-29 05:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 05:21:19 || endTime :2014-12-29 06:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 06:21:19 || endTime :2014-12-29 07:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 07:21:19 || endTime :2014-12-29 08:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 08:21:19 || endTime :2014-12-29 09:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 09:21:19 || endTime :2014-12-29 10:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 10:21:19 || endTime :2014-12-29 11:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 11:21:19 || endTime :2014-12-29 12:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 12:21:19 || endTime :2014-12-29 13:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 13:21:19 || endTime :2014-12-29 14:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 14:21:19 || endTime :2014-12-29 15:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 15:21:19 || endTime :2014-12-29 16:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 16:21:19 || endTime :2014-12-29 17:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 17:21:19 || endTime :2014-12-29 18:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 18:21:19 || endTime :2014-12-29 19:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 19:21:19 || endTime :2014-12-29 20:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 20:21:19 || endTime :2014-12-29 21:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 21:21:19 || endTime :2014-12-29 22:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 22:21:19 || endTime :2014-12-29 23:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 23:21:19 || endTime :2014-12-30 00:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 00:21:19 || endTime :2014-12-30 01:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 01:21:19 || endTime :2014-12-30 02:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 02:21:19 || endTime :2014-12-30 03:21:19 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 03:21:19 || endTime :2014-12-30 04:21:19 || tweets/hour :0 || average # followers :0
