startTime :2015-01-14 12:31:15 || endTime :2015-01-14 13:31:15 || tweets/hour :1 || average # followers :69
startTime :2015-01-14 13:31:15 || endTime :2015-01-14 14:31:15 || tweets/hour :1 || average # followers :21
startTime :2015-01-14 14:31:15 || endTime :2015-01-14 15:31:15 || tweets/hour :4 || average # followers :353
startTime :2015-01-14 15:31:15 || endTime :2015-01-14 16:31:15 || tweets/hour :2 || average # followers :41
startTime :2015-01-14 16:31:15 || endTime :2015-01-14 17:31:15 || tweets/hour :1 || average # followers :160
startTime :2015-01-14 17:31:15 || endTime :2015-01-14 18:31:15 || tweets/hour :1 || average # followers :406
startTime :2015-01-14 18:31:15 || endTime :2015-01-14 19:31:15 || tweets/hour :2 || average # followers :3658
startTime :2015-01-14 19:31:15 || endTime :2015-01-14 20:31:15 || tweets/hour :1 || average # followers :1408434
startTime :2015-01-14 20:31:15 || endTime :2015-01-14 21:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-14 21:31:15 || endTime :2015-01-14 22:31:15 || tweets/hour :55 || average # followers :31
startTime :2015-01-14 22:31:15 || endTime :2015-01-14 23:31:15 || tweets/hour :163 || average # followers :27
startTime :2015-01-14 23:31:15 || endTime :2015-01-15 00:31:15 || tweets/hour :13 || average # followers :16
startTime :2015-01-15 00:31:15 || endTime :2015-01-15 01:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-15 01:31:15 || endTime :2015-01-15 02:31:15 || tweets/hour :2 || average # followers :457
startTime :2015-01-15 02:31:15 || endTime :2015-01-15 03:31:15 || tweets/hour :7 || average # followers :1
startTime :2015-01-15 03:31:15 || endTime :2015-01-15 04:31:15 || tweets/hour :35 || average # followers :1
startTime :2015-01-15 04:31:15 || endTime :2015-01-15 05:31:15 || tweets/hour :87 || average # followers :6
startTime :2015-01-15 05:31:15 || endTime :2015-01-15 06:31:15 || tweets/hour :41 || average # followers :1
startTime :2015-01-15 06:31:15 || endTime :2015-01-15 07:31:15 || tweets/hour :18 || average # followers :0
startTime :2015-01-15 07:31:15 || endTime :2015-01-15 08:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-15 08:31:15 || endTime :2015-01-15 09:31:15 || tweets/hour :1 || average # followers :647
startTime :2015-01-15 09:31:15 || endTime :2015-01-15 10:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-15 10:31:15 || endTime :2015-01-15 11:31:15 || tweets/hour :1 || average # followers :611
startTime :2015-01-15 11:31:15 || endTime :2015-01-15 12:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-15 12:31:15 || endTime :2015-01-15 13:31:15 || tweets/hour :1 || average # followers :864
startTime :2015-01-15 13:31:15 || endTime :2015-01-15 14:31:15 || tweets/hour :1 || average # followers :6
startTime :2015-01-15 14:31:15 || endTime :2015-01-15 15:31:15 || tweets/hour :1 || average # followers :109
startTime :2015-01-15 15:31:15 || endTime :2015-01-15 16:31:15 || tweets/hour :1 || average # followers :405
startTime :2015-01-15 16:31:15 || endTime :2015-01-15 17:31:15 || tweets/hour :1 || average # followers :161
startTime :2015-01-15 17:31:15 || endTime :2015-01-15 18:31:15 || tweets/hour :1 || average # followers :102
startTime :2015-01-15 18:31:15 || endTime :2015-01-15 19:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-15 19:31:15 || endTime :2015-01-15 20:31:15 || tweets/hour :1 || average # followers :33
startTime :2015-01-15 20:31:15 || endTime :2015-01-15 21:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-15 21:31:15 || endTime :2015-01-15 22:31:15 || tweets/hour :2 || average # followers :2105
startTime :2015-01-15 22:31:15 || endTime :2015-01-15 23:31:15 || tweets/hour :1 || average # followers :25646
startTime :2015-01-15 23:31:15 || endTime :2015-01-16 00:31:15 || tweets/hour :2 || average # followers :13647
startTime :2015-01-16 00:31:15 || endTime :2015-01-16 01:31:15 || tweets/hour :2 || average # followers :485
startTime :2015-01-16 01:31:15 || endTime :2015-01-16 02:31:15 || tweets/hour :1 || average # followers :357
startTime :2015-01-16 02:31:15 || endTime :2015-01-16 03:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-16 03:31:15 || endTime :2015-01-16 04:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-16 04:31:15 || endTime :2015-01-16 05:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-16 05:31:15 || endTime :2015-01-16 06:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-16 06:31:15 || endTime :2015-01-16 07:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-16 07:31:15 || endTime :2015-01-16 08:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-16 08:31:15 || endTime :2015-01-16 09:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-16 09:31:15 || endTime :2015-01-16 10:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-16 10:31:15 || endTime :2015-01-16 11:31:15 || tweets/hour :1 || average # followers :1915
startTime :2015-01-16 11:31:15 || endTime :2015-01-16 12:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-16 12:31:15 || endTime :2015-01-16 13:31:15 || tweets/hour :1 || average # followers :500
startTime :2015-01-16 13:31:15 || endTime :2015-01-16 14:31:15 || tweets/hour :0 || average # followers :0
startTime :2015-01-16 14:31:15 || endTime :2015-01-16 15:31:15 || tweets/hour :3 || average # followers :363
startTime :2015-01-16 15:31:15 || endTime :2015-01-16 16:31:15 || tweets/hour :1 || average # followers :1330
startTime :2015-01-16 16:31:15 || endTime :2015-01-16 17:31:15 || tweets/hour :7 || average # followers :71500
startTime :2015-01-16 17:31:15 || endTime :2015-01-16 18:31:15 || tweets/hour :1 || average # followers :292
startTime :2015-01-16 18:31:15 || endTime :2015-01-16 19:31:15 || tweets/hour :2 || average # followers :4228
startTime :2015-01-16 19:31:15 || endTime :2015-01-16 20:31:15 || tweets/hour :2 || average # followers :9008
startTime :2015-01-16 20:31:15 || endTime :2015-01-16 21:31:15 || tweets/hour :6 || average # followers :237541
startTime :2015-01-16 21:31:15 || endTime :2015-01-16 22:31:15 || tweets/hour :2 || average # followers :36
startTime :2015-01-16 22:31:15 || endTime :2015-01-16 23:31:15 || tweets/hour :2 || average # followers :5954
startTime :2015-01-16 23:31:15 || endTime :2015-01-17 00:31:15 || tweets/hour :2 || average # followers :377
startTime :2015-01-17 00:31:15 || endTime :2015-01-17 01:31:15 || tweets/hour :2 || average # followers :38218
