startTime :2014-12-29 15:27:13 || endTime :2014-12-29 16:27:13 || tweets/hour :1 || average # followers :294
startTime :2014-12-29 16:27:13 || endTime :2014-12-29 17:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 17:27:13 || endTime :2014-12-29 18:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 18:27:13 || endTime :2014-12-29 19:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 19:27:13 || endTime :2014-12-29 20:27:13 || tweets/hour :1 || average # followers :811
startTime :2014-12-29 20:27:13 || endTime :2014-12-29 21:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 21:27:13 || endTime :2014-12-29 22:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 22:27:13 || endTime :2014-12-29 23:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-29 23:27:13 || endTime :2014-12-30 00:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 00:27:13 || endTime :2014-12-30 01:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 01:27:13 || endTime :2014-12-30 02:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 02:27:13 || endTime :2014-12-30 03:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 03:27:13 || endTime :2014-12-30 04:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 04:27:13 || endTime :2014-12-30 05:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 05:27:13 || endTime :2014-12-30 06:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 06:27:13 || endTime :2014-12-30 07:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 07:27:13 || endTime :2014-12-30 08:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 08:27:13 || endTime :2014-12-30 09:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 09:27:13 || endTime :2014-12-30 10:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 10:27:13 || endTime :2014-12-30 11:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 11:27:13 || endTime :2014-12-30 12:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 12:27:13 || endTime :2014-12-30 13:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 13:27:13 || endTime :2014-12-30 14:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 14:27:13 || endTime :2014-12-30 15:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 15:27:13 || endTime :2014-12-30 16:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 16:27:13 || endTime :2014-12-30 17:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 17:27:13 || endTime :2014-12-30 18:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 18:27:13 || endTime :2014-12-30 19:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 19:27:13 || endTime :2014-12-30 20:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 20:27:13 || endTime :2014-12-30 21:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 21:27:13 || endTime :2014-12-30 22:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 22:27:13 || endTime :2014-12-30 23:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-30 23:27:13 || endTime :2014-12-31 00:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-31 00:27:13 || endTime :2014-12-31 01:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-31 01:27:13 || endTime :2014-12-31 02:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-31 02:27:13 || endTime :2014-12-31 03:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-31 03:27:13 || endTime :2014-12-31 04:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-31 04:27:13 || endTime :2014-12-31 05:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-31 05:27:13 || endTime :2014-12-31 06:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-31 06:27:13 || endTime :2014-12-31 07:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-31 07:27:13 || endTime :2014-12-31 08:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-31 08:27:13 || endTime :2014-12-31 09:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-31 09:27:13 || endTime :2014-12-31 10:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-31 10:27:13 || endTime :2014-12-31 11:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-31 11:27:13 || endTime :2014-12-31 12:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-31 12:27:13 || endTime :2014-12-31 13:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-31 13:27:13 || endTime :2014-12-31 14:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-31 14:27:13 || endTime :2014-12-31 15:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-31 15:27:13 || endTime :2014-12-31 16:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-31 16:27:13 || endTime :2014-12-31 17:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-31 17:27:13 || endTime :2014-12-31 18:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-31 18:27:13 || endTime :2014-12-31 19:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-31 19:27:13 || endTime :2014-12-31 20:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-31 20:27:13 || endTime :2014-12-31 21:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-31 21:27:13 || endTime :2014-12-31 22:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-31 22:27:13 || endTime :2014-12-31 23:27:13 || tweets/hour :0 || average # followers :0
startTime :2014-12-31 23:27:13 || endTime :2015-01-01 00:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-01 00:27:13 || endTime :2015-01-01 01:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-01 01:27:13 || endTime :2015-01-01 02:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-01 02:27:13 || endTime :2015-01-01 03:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-01 03:27:13 || endTime :2015-01-01 04:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-01 04:27:13 || endTime :2015-01-01 05:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-01 05:27:13 || endTime :2015-01-01 06:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-01 06:27:13 || endTime :2015-01-01 07:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-01 07:27:13 || endTime :2015-01-01 08:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-01 08:27:13 || endTime :2015-01-01 09:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-01 09:27:13 || endTime :2015-01-01 10:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-01 10:27:13 || endTime :2015-01-01 11:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-01 11:27:13 || endTime :2015-01-01 12:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-01 12:27:13 || endTime :2015-01-01 13:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-01 13:27:13 || endTime :2015-01-01 14:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-01 14:27:13 || endTime :2015-01-01 15:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-01 15:27:13 || endTime :2015-01-01 16:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-01 16:27:13 || endTime :2015-01-01 17:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-01 17:27:13 || endTime :2015-01-01 18:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-01 18:27:13 || endTime :2015-01-01 19:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-01 19:27:13 || endTime :2015-01-01 20:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-01 20:27:13 || endTime :2015-01-01 21:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-01 21:27:13 || endTime :2015-01-01 22:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-01 22:27:13 || endTime :2015-01-01 23:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-01 23:27:13 || endTime :2015-01-02 00:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-02 00:27:13 || endTime :2015-01-02 01:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-02 01:27:13 || endTime :2015-01-02 02:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-02 02:27:13 || endTime :2015-01-02 03:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-02 03:27:13 || endTime :2015-01-02 04:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-02 04:27:13 || endTime :2015-01-02 05:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-02 05:27:13 || endTime :2015-01-02 06:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-02 06:27:13 || endTime :2015-01-02 07:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-02 07:27:13 || endTime :2015-01-02 08:27:13 || tweets/hour :0 || average # followers :0
startTime :2015-01-02 08:27:13 || endTime :2015-01-02 09:27:13 || tweets/hour :0 || average # followers :0
