startTime :2014-12-28 22:14:35 || endTime :2014-12-28 23:14:35 || tweets/hour :1
startTime :2014-12-28 23:14:35 || endTime :2014-12-29 00:14:35 || tweets/hour :0
startTime :2014-12-29 00:14:35 || endTime :2014-12-29 01:14:35 || tweets/hour :0
startTime :2014-12-29 01:14:35 || endTime :2014-12-29 02:14:35 || tweets/hour :0
startTime :2014-12-29 02:14:35 || endTime :2014-12-29 03:14:35 || tweets/hour :0
startTime :2014-12-29 03:14:35 || endTime :2014-12-29 04:14:35 || tweets/hour :0
startTime :2014-12-29 04:14:35 || endTime :2014-12-29 05:14:35 || tweets/hour :0
startTime :2014-12-29 05:14:35 || endTime :2014-12-29 06:14:35 || tweets/hour :0
startTime :2014-12-29 06:14:35 || endTime :2014-12-29 07:14:35 || tweets/hour :0
startTime :2014-12-29 07:14:35 || endTime :2014-12-29 08:14:35 || tweets/hour :0
startTime :2014-12-29 08:14:35 || endTime :2014-12-29 09:14:35 || tweets/hour :0
startTime :2014-12-29 09:14:35 || endTime :2014-12-29 10:14:35 || tweets/hour :0
startTime :2014-12-29 10:14:35 || endTime :2014-12-29 11:14:35 || tweets/hour :0
startTime :2014-12-29 11:14:35 || endTime :2014-12-29 12:14:35 || tweets/hour :0
startTime :2014-12-29 12:14:35 || endTime :2014-12-29 13:14:35 || tweets/hour :0
startTime :2014-12-29 13:14:35 || endTime :2014-12-29 14:14:35 || tweets/hour :0
startTime :2014-12-29 14:14:35 || endTime :2014-12-29 15:14:35 || tweets/hour :1
startTime :2014-12-29 15:14:35 || endTime :2014-12-29 16:14:35 || tweets/hour :1
startTime :2014-12-29 16:14:35 || endTime :2014-12-29 17:14:35 || tweets/hour :0
startTime :2014-12-29 17:14:35 || endTime :2014-12-29 18:14:35 || tweets/hour :0
startTime :2014-12-29 18:14:35 || endTime :2014-12-29 19:14:35 || tweets/hour :0
startTime :2014-12-29 19:14:35 || endTime :2014-12-29 20:14:35 || tweets/hour :2
startTime :2014-12-29 20:14:35 || endTime :2014-12-29 21:14:35 || tweets/hour :0
startTime :2014-12-29 21:14:35 || endTime :2014-12-29 22:14:35 || tweets/hour :0
startTime :2014-12-29 22:14:35 || endTime :2014-12-29 23:14:35 || tweets/hour :0
startTime :2014-12-29 23:14:35 || endTime :2014-12-30 00:14:35 || tweets/hour :0
startTime :2014-12-30 00:14:35 || endTime :2014-12-30 01:14:35 || tweets/hour :1
