startTime :2015-01-09 20:30:45 || endTime :2015-01-09 21:30:45 || tweets/hour :1
startTime :2015-01-09 21:30:45 || endTime :2015-01-09 22:30:45 || tweets/hour :0
startTime :2015-01-09 22:30:45 || endTime :2015-01-09 23:30:45 || tweets/hour :0
startTime :2015-01-09 23:30:45 || endTime :2015-01-10 00:30:45 || tweets/hour :0
startTime :2015-01-10 00:30:45 || endTime :2015-01-10 01:30:45 || tweets/hour :0
startTime :2015-01-10 01:30:45 || endTime :2015-01-10 02:30:45 || tweets/hour :0
startTime :2015-01-10 02:30:45 || endTime :2015-01-10 03:30:45 || tweets/hour :0
startTime :2015-01-10 03:30:45 || endTime :2015-01-10 04:30:45 || tweets/hour :0
startTime :2015-01-10 04:30:45 || endTime :2015-01-10 05:30:45 || tweets/hour :0
startTime :2015-01-10 05:30:45 || endTime :2015-01-10 06:30:45 || tweets/hour :0
startTime :2015-01-10 06:30:45 || endTime :2015-01-10 07:30:45 || tweets/hour :0
startTime :2015-01-10 07:30:45 || endTime :2015-01-10 08:30:45 || tweets/hour :0
startTime :2015-01-10 08:30:45 || endTime :2015-01-10 09:30:45 || tweets/hour :0
startTime :2015-01-10 09:30:45 || endTime :2015-01-10 10:30:45 || tweets/hour :0
startTime :2015-01-10 10:30:45 || endTime :2015-01-10 11:30:45 || tweets/hour :0
startTime :2015-01-10 11:30:45 || endTime :2015-01-10 12:30:45 || tweets/hour :0
startTime :2015-01-10 12:30:45 || endTime :2015-01-10 13:30:45 || tweets/hour :0
startTime :2015-01-10 13:30:45 || endTime :2015-01-10 14:30:45 || tweets/hour :0
startTime :2015-01-10 14:30:45 || endTime :2015-01-10 15:30:45 || tweets/hour :0
startTime :2015-01-10 15:30:45 || endTime :2015-01-10 16:30:45 || tweets/hour :0
startTime :2015-01-10 16:30:45 || endTime :2015-01-10 17:30:45 || tweets/hour :0
startTime :2015-01-10 17:30:45 || endTime :2015-01-10 18:30:45 || tweets/hour :0
startTime :2015-01-10 18:30:45 || endTime :2015-01-10 19:30:45 || tweets/hour :1
startTime :2015-01-10 19:30:45 || endTime :2015-01-10 20:30:45 || tweets/hour :0
startTime :2015-01-10 20:30:45 || endTime :2015-01-10 21:30:45 || tweets/hour :0
startTime :2015-01-10 21:30:45 || endTime :2015-01-10 22:30:45 || tweets/hour :0
startTime :2015-01-10 22:30:45 || endTime :2015-01-10 23:30:45 || tweets/hour :0
startTime :2015-01-10 23:30:45 || endTime :2015-01-11 00:30:45 || tweets/hour :1
startTime :2015-01-11 00:30:45 || endTime :2015-01-11 01:30:45 || tweets/hour :1
startTime :2015-01-11 01:30:45 || endTime :2015-01-11 02:30:45 || tweets/hour :0
startTime :2015-01-11 02:30:45 || endTime :2015-01-11 03:30:45 || tweets/hour :0
startTime :2015-01-11 03:30:45 || endTime :2015-01-11 04:30:45 || tweets/hour :0
startTime :2015-01-11 04:30:45 || endTime :2015-01-11 05:30:45 || tweets/hour :0
startTime :2015-01-11 05:30:45 || endTime :2015-01-11 06:30:45 || tweets/hour :0
startTime :2015-01-11 06:30:45 || endTime :2015-01-11 07:30:45 || tweets/hour :0
startTime :2015-01-11 07:30:45 || endTime :2015-01-11 08:30:45 || tweets/hour :0
startTime :2015-01-11 08:30:45 || endTime :2015-01-11 09:30:45 || tweets/hour :0
startTime :2015-01-11 09:30:45 || endTime :2015-01-11 10:30:45 || tweets/hour :0
startTime :2015-01-11 10:30:45 || endTime :2015-01-11 11:30:45 || tweets/hour :0
startTime :2015-01-11 11:30:45 || endTime :2015-01-11 12:30:45 || tweets/hour :0
startTime :2015-01-11 12:30:45 || endTime :2015-01-11 13:30:45 || tweets/hour :0
startTime :2015-01-11 13:30:45 || endTime :2015-01-11 14:30:45 || tweets/hour :0
startTime :2015-01-11 14:30:45 || endTime :2015-01-11 15:30:45 || tweets/hour :0
startTime :2015-01-11 15:30:45 || endTime :2015-01-11 16:30:45 || tweets/hour :0
startTime :2015-01-11 16:30:45 || endTime :2015-01-11 17:30:45 || tweets/hour :0
startTime :2015-01-11 17:30:45 || endTime :2015-01-11 18:30:45 || tweets/hour :0
startTime :2015-01-11 18:30:45 || endTime :2015-01-11 19:30:45 || tweets/hour :0
startTime :2015-01-11 19:30:45 || endTime :2015-01-11 20:30:45 || tweets/hour :0
startTime :2015-01-11 20:30:45 || endTime :2015-01-11 21:30:45 || tweets/hour :0
startTime :2015-01-11 21:30:45 || endTime :2015-01-11 22:30:45 || tweets/hour :0
startTime :2015-01-11 22:30:45 || endTime :2015-01-11 23:30:45 || tweets/hour :0
startTime :2015-01-11 23:30:45 || endTime :2015-01-12 00:30:45 || tweets/hour :0
startTime :2015-01-12 00:30:45 || endTime :2015-01-12 01:30:45 || tweets/hour :0
startTime :2015-01-12 01:30:45 || endTime :2015-01-12 02:30:45 || tweets/hour :0
startTime :2015-01-12 02:30:45 || endTime :2015-01-12 03:30:45 || tweets/hour :0
startTime :2015-01-12 03:30:45 || endTime :2015-01-12 04:30:45 || tweets/hour :0
startTime :2015-01-12 04:30:45 || endTime :2015-01-12 05:30:45 || tweets/hour :0
startTime :2015-01-12 05:30:45 || endTime :2015-01-12 06:30:45 || tweets/hour :0
startTime :2015-01-12 06:30:45 || endTime :2015-01-12 07:30:45 || tweets/hour :0
startTime :2015-01-12 07:30:45 || endTime :2015-01-12 08:30:45 || tweets/hour :0
startTime :2015-01-12 08:30:45 || endTime :2015-01-12 09:30:45 || tweets/hour :0
startTime :2015-01-12 09:30:45 || endTime :2015-01-12 10:30:45 || tweets/hour :0
startTime :2015-01-12 10:30:45 || endTime :2015-01-12 11:30:45 || tweets/hour :0
startTime :2015-01-12 11:30:45 || endTime :2015-01-12 12:30:45 || tweets/hour :0
startTime :2015-01-12 12:30:45 || endTime :2015-01-12 13:30:45 || tweets/hour :0
startTime :2015-01-12 13:30:45 || endTime :2015-01-12 14:30:45 || tweets/hour :0
startTime :2015-01-12 14:30:45 || endTime :2015-01-12 15:30:45 || tweets/hour :0
startTime :2015-01-12 15:30:45 || endTime :2015-01-12 16:30:45 || tweets/hour :0
