startTime :2015-01-14 12:31:15 || endTime :2015-01-14 13:31:15 || tweets/hour :1
startTime :2015-01-14 13:31:15 || endTime :2015-01-14 14:31:15 || tweets/hour :1
startTime :2015-01-14 14:31:15 || endTime :2015-01-14 15:31:15 || tweets/hour :4
startTime :2015-01-14 15:31:15 || endTime :2015-01-14 16:31:15 || tweets/hour :2
startTime :2015-01-14 16:31:15 || endTime :2015-01-14 17:31:15 || tweets/hour :1
startTime :2015-01-14 17:31:15 || endTime :2015-01-14 18:31:15 || tweets/hour :1
startTime :2015-01-14 18:31:15 || endTime :2015-01-14 19:31:15 || tweets/hour :2
startTime :2015-01-14 19:31:15 || endTime :2015-01-14 20:31:15 || tweets/hour :1
startTime :2015-01-14 20:31:15 || endTime :2015-01-14 21:31:15 || tweets/hour :0
startTime :2015-01-14 21:31:15 || endTime :2015-01-14 22:31:15 || tweets/hour :55
startTime :2015-01-14 22:31:15 || endTime :2015-01-14 23:31:15 || tweets/hour :163
startTime :2015-01-14 23:31:15 || endTime :2015-01-15 00:31:15 || tweets/hour :13
startTime :2015-01-15 00:31:15 || endTime :2015-01-15 01:31:15 || tweets/hour :0
startTime :2015-01-15 01:31:15 || endTime :2015-01-15 02:31:15 || tweets/hour :2
startTime :2015-01-15 02:31:15 || endTime :2015-01-15 03:31:15 || tweets/hour :7
startTime :2015-01-15 03:31:15 || endTime :2015-01-15 04:31:15 || tweets/hour :35
startTime :2015-01-15 04:31:15 || endTime :2015-01-15 05:31:15 || tweets/hour :87
startTime :2015-01-15 05:31:15 || endTime :2015-01-15 06:31:15 || tweets/hour :41
startTime :2015-01-15 06:31:15 || endTime :2015-01-15 07:31:15 || tweets/hour :18
startTime :2015-01-15 07:31:15 || endTime :2015-01-15 08:31:15 || tweets/hour :0
startTime :2015-01-15 08:31:15 || endTime :2015-01-15 09:31:15 || tweets/hour :1
startTime :2015-01-15 09:31:15 || endTime :2015-01-15 10:31:15 || tweets/hour :0
startTime :2015-01-15 10:31:15 || endTime :2015-01-15 11:31:15 || tweets/hour :1
startTime :2015-01-15 11:31:15 || endTime :2015-01-15 12:31:15 || tweets/hour :0
startTime :2015-01-15 12:31:15 || endTime :2015-01-15 13:31:15 || tweets/hour :1
startTime :2015-01-15 13:31:15 || endTime :2015-01-15 14:31:15 || tweets/hour :1
startTime :2015-01-15 14:31:15 || endTime :2015-01-15 15:31:15 || tweets/hour :1
startTime :2015-01-15 15:31:15 || endTime :2015-01-15 16:31:15 || tweets/hour :1
startTime :2015-01-15 16:31:15 || endTime :2015-01-15 17:31:15 || tweets/hour :1
startTime :2015-01-15 17:31:15 || endTime :2015-01-15 18:31:15 || tweets/hour :1
startTime :2015-01-15 18:31:15 || endTime :2015-01-15 19:31:15 || tweets/hour :0
startTime :2015-01-15 19:31:15 || endTime :2015-01-15 20:31:15 || tweets/hour :1
startTime :2015-01-15 20:31:15 || endTime :2015-01-15 21:31:15 || tweets/hour :0
startTime :2015-01-15 21:31:15 || endTime :2015-01-15 22:31:15 || tweets/hour :2
startTime :2015-01-15 22:31:15 || endTime :2015-01-15 23:31:15 || tweets/hour :1
startTime :2015-01-15 23:31:15 || endTime :2015-01-16 00:31:15 || tweets/hour :2
startTime :2015-01-16 00:31:15 || endTime :2015-01-16 01:31:15 || tweets/hour :2
startTime :2015-01-16 01:31:15 || endTime :2015-01-16 02:31:15 || tweets/hour :1
startTime :2015-01-16 02:31:15 || endTime :2015-01-16 03:31:15 || tweets/hour :0
startTime :2015-01-16 03:31:15 || endTime :2015-01-16 04:31:15 || tweets/hour :0
startTime :2015-01-16 04:31:15 || endTime :2015-01-16 05:31:15 || tweets/hour :0
startTime :2015-01-16 05:31:15 || endTime :2015-01-16 06:31:15 || tweets/hour :0
startTime :2015-01-16 06:31:15 || endTime :2015-01-16 07:31:15 || tweets/hour :0
startTime :2015-01-16 07:31:15 || endTime :2015-01-16 08:31:15 || tweets/hour :0
startTime :2015-01-16 08:31:15 || endTime :2015-01-16 09:31:15 || tweets/hour :0
startTime :2015-01-16 09:31:15 || endTime :2015-01-16 10:31:15 || tweets/hour :0
startTime :2015-01-16 10:31:15 || endTime :2015-01-16 11:31:15 || tweets/hour :1
startTime :2015-01-16 11:31:15 || endTime :2015-01-16 12:31:15 || tweets/hour :0
startTime :2015-01-16 12:31:15 || endTime :2015-01-16 13:31:15 || tweets/hour :1
startTime :2015-01-16 13:31:15 || endTime :2015-01-16 14:31:15 || tweets/hour :0
startTime :2015-01-16 14:31:15 || endTime :2015-01-16 15:31:15 || tweets/hour :3
startTime :2015-01-16 15:31:15 || endTime :2015-01-16 16:31:15 || tweets/hour :1
startTime :2015-01-16 16:31:15 || endTime :2015-01-16 17:31:15 || tweets/hour :7
startTime :2015-01-16 17:31:15 || endTime :2015-01-16 18:31:15 || tweets/hour :1
startTime :2015-01-16 18:31:15 || endTime :2015-01-16 19:31:15 || tweets/hour :2
startTime :2015-01-16 19:31:15 || endTime :2015-01-16 20:31:15 || tweets/hour :2
startTime :2015-01-16 20:31:15 || endTime :2015-01-16 21:31:15 || tweets/hour :6
startTime :2015-01-16 21:31:15 || endTime :2015-01-16 22:31:15 || tweets/hour :2
startTime :2015-01-16 22:31:15 || endTime :2015-01-16 23:31:15 || tweets/hour :2
startTime :2015-01-16 23:31:15 || endTime :2015-01-17 00:31:15 || tweets/hour :2
startTime :2015-01-17 00:31:15 || endTime :2015-01-17 01:31:15 || tweets/hour :2
startTime :2015-01-17 01:31:15 || endTime :2015-01-17 02:31:15 || tweets/hour :3
startTime :2015-01-17 02:31:15 || endTime :2015-01-17 03:31:15 || tweets/hour :3
startTime :2015-01-17 03:31:15 || endTime :2015-01-17 04:31:15 || tweets/hour :0
startTime :2015-01-17 04:31:15 || endTime :2015-01-17 05:31:15 || tweets/hour :1
startTime :2015-01-17 05:31:15 || endTime :2015-01-17 06:31:15 || tweets/hour :1
startTime :2015-01-17 06:31:15 || endTime :2015-01-17 07:31:15 || tweets/hour :0
startTime :2015-01-17 07:31:15 || endTime :2015-01-17 08:31:15 || tweets/hour :0
startTime :2015-01-17 08:31:15 || endTime :2015-01-17 09:31:15 || tweets/hour :0
startTime :2015-01-17 09:31:15 || endTime :2015-01-17 10:31:15 || tweets/hour :0
startTime :2015-01-17 10:31:15 || endTime :2015-01-17 11:31:15 || tweets/hour :0
startTime :2015-01-17 11:31:15 || endTime :2015-01-17 12:31:15 || tweets/hour :0
startTime :2015-01-17 12:31:15 || endTime :2015-01-17 13:31:15 || tweets/hour :0
startTime :2015-01-17 13:31:15 || endTime :2015-01-17 14:31:15 || tweets/hour :0
startTime :2015-01-17 14:31:15 || endTime :2015-01-17 15:31:15 || tweets/hour :0
startTime :2015-01-17 15:31:15 || endTime :2015-01-17 16:31:15 || tweets/hour :1
startTime :2015-01-17 16:31:15 || endTime :2015-01-17 17:31:15 || tweets/hour :3
startTime :2015-01-17 17:31:15 || endTime :2015-01-17 18:31:15 || tweets/hour :4
startTime :2015-01-17 18:31:15 || endTime :2015-01-17 19:31:15 || tweets/hour :1
startTime :2015-01-17 19:31:15 || endTime :2015-01-17 20:31:15 || tweets/hour :3
startTime :2015-01-17 20:31:15 || endTime :2015-01-17 21:31:15 || tweets/hour :0
startTime :2015-01-17 21:31:15 || endTime :2015-01-17 22:31:15 || tweets/hour :1
startTime :2015-01-17 22:31:15 || endTime :2015-01-17 23:31:15 || tweets/hour :2
startTime :2015-01-17 23:31:15 || endTime :2015-01-18 00:31:15 || tweets/hour :2
startTime :2015-01-18 00:31:15 || endTime :2015-01-18 01:31:15 || tweets/hour :1
startTime :2015-01-18 01:31:15 || endTime :2015-01-18 02:31:15 || tweets/hour :0
startTime :2015-01-18 02:31:15 || endTime :2015-01-18 03:31:15 || tweets/hour :2
startTime :2015-01-18 03:31:15 || endTime :2015-01-18 04:31:15 || tweets/hour :2
startTime :2015-01-18 04:31:15 || endTime :2015-01-18 05:31:15 || tweets/hour :2
startTime :2015-01-18 05:31:15 || endTime :2015-01-18 06:31:15 || tweets/hour :1
startTime :2015-01-18 06:31:15 || endTime :2015-01-18 07:31:15 || tweets/hour :0
startTime :2015-01-18 07:31:15 || endTime :2015-01-18 08:31:15 || tweets/hour :1
startTime :2015-01-18 08:31:15 || endTime :2015-01-18 09:31:15 || tweets/hour :1
startTime :2015-01-18 09:31:15 || endTime :2015-01-18 10:31:15 || tweets/hour :1
startTime :2015-01-18 10:31:15 || endTime :2015-01-18 11:31:15 || tweets/hour :0
startTime :2015-01-18 11:31:15 || endTime :2015-01-18 12:31:15 || tweets/hour :0
startTime :2015-01-18 12:31:15 || endTime :2015-01-18 13:31:15 || tweets/hour :0
startTime :2015-01-18 13:31:15 || endTime :2015-01-18 14:31:15 || tweets/hour :0
startTime :2015-01-18 14:31:15 || endTime :2015-01-18 15:31:15 || tweets/hour :0
startTime :2015-01-18 15:31:15 || endTime :2015-01-18 16:31:15 || tweets/hour :5
startTime :2015-01-18 16:31:15 || endTime :2015-01-18 17:31:15 || tweets/hour :3
startTime :2015-01-18 17:31:15 || endTime :2015-01-18 18:31:15 || tweets/hour :8
startTime :2015-01-18 18:31:15 || endTime :2015-01-18 19:31:15 || tweets/hour :2
startTime :2015-01-18 19:31:15 || endTime :2015-01-18 20:31:15 || tweets/hour :15
startTime :2015-01-18 20:31:15 || endTime :2015-01-18 21:31:15 || tweets/hour :9
