startTime :2014-12-29 15:27:13 || endTime :2014-12-29 16:27:13 || tweets/hour :1
startTime :2014-12-29 16:27:13 || endTime :2014-12-29 17:27:13 || tweets/hour :0
startTime :2014-12-29 17:27:13 || endTime :2014-12-29 18:27:13 || tweets/hour :0
startTime :2014-12-29 18:27:13 || endTime :2014-12-29 19:27:13 || tweets/hour :0
startTime :2014-12-29 19:27:13 || endTime :2014-12-29 20:27:13 || tweets/hour :1
startTime :2014-12-29 20:27:13 || endTime :2014-12-29 21:27:13 || tweets/hour :0
startTime :2014-12-29 21:27:13 || endTime :2014-12-29 22:27:13 || tweets/hour :0
startTime :2014-12-29 22:27:13 || endTime :2014-12-29 23:27:13 || tweets/hour :0
startTime :2014-12-29 23:27:13 || endTime :2014-12-30 00:27:13 || tweets/hour :0
startTime :2014-12-30 00:27:13 || endTime :2014-12-30 01:27:13 || tweets/hour :0
startTime :2014-12-30 01:27:13 || endTime :2014-12-30 02:27:13 || tweets/hour :0
startTime :2014-12-30 02:27:13 || endTime :2014-12-30 03:27:13 || tweets/hour :0
startTime :2014-12-30 03:27:13 || endTime :2014-12-30 04:27:13 || tweets/hour :0
startTime :2014-12-30 04:27:13 || endTime :2014-12-30 05:27:13 || tweets/hour :0
startTime :2014-12-30 05:27:13 || endTime :2014-12-30 06:27:13 || tweets/hour :0
startTime :2014-12-30 06:27:13 || endTime :2014-12-30 07:27:13 || tweets/hour :0
startTime :2014-12-30 07:27:13 || endTime :2014-12-30 08:27:13 || tweets/hour :0
startTime :2014-12-30 08:27:13 || endTime :2014-12-30 09:27:13 || tweets/hour :0
startTime :2014-12-30 09:27:13 || endTime :2014-12-30 10:27:13 || tweets/hour :0
startTime :2014-12-30 10:27:13 || endTime :2014-12-30 11:27:13 || tweets/hour :0
startTime :2014-12-30 11:27:13 || endTime :2014-12-30 12:27:13 || tweets/hour :0
startTime :2014-12-30 12:27:13 || endTime :2014-12-30 13:27:13 || tweets/hour :0
startTime :2014-12-30 13:27:13 || endTime :2014-12-30 14:27:13 || tweets/hour :0
startTime :2014-12-30 14:27:13 || endTime :2014-12-30 15:27:13 || tweets/hour :0
startTime :2014-12-30 15:27:13 || endTime :2014-12-30 16:27:13 || tweets/hour :0
startTime :2014-12-30 16:27:13 || endTime :2014-12-30 17:27:13 || tweets/hour :0
